NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,TARGET,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_REGISTRATION,DAYS_LAST_PHONE_CHANGE
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.5555611508492511,0.5147465544741232,-2671.0,-1482.0
Revolving loans,M,Y,Working,Secondary / secondary special,0,0.5778569921609762,0.3807996826489149,-2382.0,-1109.0
Cash loans,F,N,State servant,Secondary / secondary special,0,0.7498730075168948,0.5424451438613613,-8297.0,-2255.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6806492491934151,0.4241303111942548,-255.0,-192.0
Cash loans,F,N,Working,Higher education,0,0.5261643921152924,0.5971924268337128,-8665.0,-1209.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.5372388950110457,0.6956219298394389,-8734.0,-1600.0
Cash loans,F,Y,State servant,Higher education,0,0.6453133744978369,0.3842068130556564,-950.0,-1569.0
Cash loans,F,N,Working,Higher education,0,0.0146638207715003,0.5147465544741232,-8367.0,0.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.4673073552885441,0.2250868621163805,-2863.0,-3.0
Cash loans,F,Y,Working,Secondary / secondary special,1,0.4921903249169826,0.2985949897873972,-8764.0,-2090.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.7162744310385661,0.6144143775673561,-3164.0,-1305.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5827088906293924,0.6413682574954046,-1380.0,-1317.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.7155761978131381,0.3774042489507649,-864.0,-2137.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.6623467244369105,0.7764098512142026,-11389.0,-1702.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.6197496110365575,0.3154721549257734,-3046.0,-1252.0
Cash loans,M,N,Commercial associate,Higher education,0,0.7299804349859275,0.5585066276769286,-3750.0,-843.0
Cash loans,F,N,Commercial associate,Higher education,0,0.2652563401861944,0.3312508645909018,-3490.0,-1463.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6214795949926472,0.5147465544741232,-3197.0,-608.0
Cash loans,F,N,State servant,Secondary / secondary special,0,0.7562409387781144,0.7476633896301825,-4560.0,-2459.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.4655114240810791,0.5147465544741232,-9250.0,-679.0
Cash loans,F,Y,Working,Incomplete higher,0,0.6327695507273182,0.5147465544741232,-8776.0,-1048.0
Cash loans,F,N,State servant,Secondary / secondary special,0,0.6815849129167909,0.4311917977993083,-5528.0,-1372.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.5796802665181847,0.8027454758994178,-5399.0,-1758.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.5933720806588041,0.5147465544741232,-1156.0,-3079.0
Cash loans,F,N,Commercial associate,Incomplete higher,0,0.5499172744211459,0.5147465544741232,-1028.0,-1.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.4361706957379433,0.6006575372857061,-8785.0,-1135.0
Revolving loans,F,N,Pensioner,Higher education,0,0.7148011514207694,0.622922000268356,-2877.0,-1852.0
Cash loans,F,Y,Commercial associate,Higher education,0,0.6575472920065787,0.4365064990977374,-3878.0,-5.0
Cash loans,F,N,State servant,Higher education,0,0.0481890940321351,0.4418358231994413,-2632.0,-1124.0
Cash loans,M,N,Working,Secondary / secondary special,1,0.4605909422017539,0.4223696523543468,-2246.0,-704.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.6703585987475653,0.7675231046555077,-164.0,-1080.0
Cash loans,M,N,Pensioner,Secondary / secondary special,0,0.6133857502375424,0.6528965519806539,-10195.0,-2.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.18855376891719,0.6801388218428291,-701.0,-469.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.4453282465773417,0.4614823912998385,-10185.0,-442.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6864577330985623,0.722392890081304,-14465.0,0.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.1604053214783667,0.5602843280409464,-664.0,-1594.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.7091194971702166,0.8128226070575616,-7323.0,-1173.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6998419559857251,0.4276573700350293,-10158.0,-2858.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.3970603338557857,0.445396241560834,-6012.0,-1.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.4023649510961885,0.5147465544741232,-8116.0,-1839.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5070865056680277,0.7583930617144343,-12411.0,0.0
Cash loans,F,N,State servant,Secondary / secondary special,0,0.4828043473694354,0.1674084472266241,-6718.0,-1990.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.6822868861647481,0.5147465544741232,-414.0,-2953.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.724960142233091,0.5814837058057234,-6922.0,-2450.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6596909707946726,0.7801436381572275,-7558.0,-1238.0
Cash loans,F,N,Working,Higher education,0,0.2403836745312297,0.511891801533151,-7511.0,-499.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.3597613575569659,0.5147465544741232,-1312.0,-171.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.7053069956483285,0.7001838506835805,-7813.0,-1.0
Cash loans,F,N,State servant,Higher education,0,0.5933615281227997,0.3807996826489149,-2626.0,-1993.0
Cash loans,F,N,Commercial associate,Higher education,0,0.2789668351046966,0.4135967602644276,-1158.0,0.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5063978021795543,0.5147465544741232,-3224.0,-174.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6752638412243441,0.6940926425266661,-4921.0,-1856.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.1542654241327621,0.6161216908872079,-7885.0,-401.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.2021791400723735,0.8128226070575616,-8519.0,-769.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.4395724139638391,0.3807996826489149,-6685.0,-14.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5198963387363973,0.7476633896301825,-10362.0,-2.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.0579319218722868,0.6127042441012546,-5214.0,-258.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5357761411966231,0.5147465544741232,-5831.0,-2351.0
Cash loans,F,Y,Working,Higher education,0,0.4808061158263946,0.190705947811054,-1161.0,-1150.0
Cash loans,F,Y,Commercial associate,Secondary / secondary special,0,0.1080468841549966,0.3689687382528466,-12420.0,-1552.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.7234664335961999,0.7530673920730478,-11330.0,-392.0
Cash loans,M,Y,Working,Secondary / secondary special,1,0.7147521115964561,0.2340151665320674,-2761.0,-1854.0
Cash loans,M,Y,State servant,Secondary / secondary special,0,0.3046635969816491,0.5147465544741232,-744.0,0.0
Cash loans,M,N,Commercial associate,Higher education,0,0.6376794490199357,0.5028782772082183,-1671.0,-2923.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.2336925442484106,0.4066174366275036,-3129.0,0.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.0423715913114984,0.4365064990977374,-3697.0,0.0
Cash loans,F,Y,Commercial associate,Higher education,0,0.2889793100747299,0.6626377922738201,-11660.0,-1600.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.6533446682142288,0.6769925032909132,-6917.0,-7.0
Cash loans,F,N,Pensioner,Lower secondary,0,0.6880604603396241,0.2793353208976285,-1414.0,-1439.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.1606970935034709,0.5147465544741232,-909.0,-245.0
Revolving loans,F,N,Pensioner,Secondary / secondary special,0,0.6303678509245384,0.7136313997323308,-9994.0,-1748.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.6571138384256976,0.7636399214572418,-12635.0,-854.0
Cash loans,F,N,Commercial associate,Higher education,0,0.4734850024334757,0.4507472818545589,-3112.0,-408.0
Revolving loans,F,N,Working,Secondary / secondary special,1,0.3010439201972777,0.2431864804420123,-4081.0,-244.0
Cash loans,M,N,Working,Higher education,0,0.1915258625230554,0.5316861425197883,-6877.0,-632.0
Cash loans,F,N,Pensioner,Higher education,0,0.1682691401649251,0.5147465544741232,-11620.0,-743.0
Revolving loans,F,Y,Pensioner,Secondary / secondary special,0,0.6728905520230019,0.4418358231994413,-11702.0,-1765.0
Cash loans,M,Y,Working,Secondary / secondary special,1,0.5893136546739978,0.4365064990977374,-2950.0,-1450.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.3887409445462959,0.4118485559242397,-4226.0,-357.0
Cash loans,F,N,Working,Higher education,0,0.7013510656557714,0.4048783643353997,-193.0,-1611.0
Revolving loans,F,N,Working,Higher education,0,0.7081171272008381,0.5334816299804352,-7.0,-722.0
Cash loans,F,Y,Working,Higher education,0,0.6980704598994936,0.5531646987710016,-832.0,0.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.6352305505967334,0.5147465544741232,-3570.0,-325.0
Revolving loans,M,Y,Commercial associate,Higher education,0,0.5772220773494753,0.5147465544741232,-3287.0,-301.0
Revolving loans,M,Y,Working,Secondary / secondary special,0,0.2428439195341841,0.5147465544741232,-2703.0,-1030.0
Cash loans,M,N,Working,Secondary / secondary special,1,0.2477788214919852,0.5147465544741232,-5107.0,0.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.6789070443458786,0.1014593569914692,-3376.0,-1523.0
Cash loans,F,N,Working,Secondary / secondary special,1,0.5596823630195804,0.6161216908872079,-8849.0,-1684.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.4179542682868027,0.5673792367572691,-2682.0,-795.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5620682935005448,0.6594055320683344,-3964.0,-660.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5871632250863883,0.5147465544741232,-8215.0,-818.0
Cash loans,F,Y,Commercial associate,Higher education,0,0.2858978721410488,0.3706496323299817,-7533.0,-1783.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.3210009080987714,0.5147465544741232,-10794.0,-889.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.6940502379654446,0.5147465544741232,-1392.0,-787.0
Cash loans,F,N,Working,Higher education,0,0.4871411142991216,0.4436153084085652,-7256.0,-578.0
Cash loans,F,N,State servant,Higher education,0,0.6858785266646048,0.5797274227921155,-831.0,-1450.0
Cash loans,F,Y,Working,Higher education,0,0.5862087623744292,0.2405414172860865,-2975.0,-323.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.6598333245039608,0.5147465544741232,-5690.0,-340.0
Cash loans,F,N,Working,Higher education,0,0.3560777214610853,0.3842068130556564,-3881.0,-2391.0
Cash loans,M,N,State servant,Secondary / secondary special,0,0.5058457285511815,0.7295666907060153,-5335.0,-792.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.7183894512104472,0.7267112092725122,-4987.0,-1602.0
Cash loans,F,N,Commercial associate,Incomplete higher,0,0.6966582429163355,0.1862929496555374,-8830.0,-604.0
Cash loans,M,Y,Working,Higher education,0,0.7748033572498417,0.6263042766749393,-2595.0,-1306.0
Cash loans,F,N,Pensioner,Higher education,0,0.7901587842503233,0.7969726818373722,-607.0,-2266.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5846749669475833,0.5460231970049609,-3182.0,-3123.0
Cash loans,F,N,Commercial associate,Higher education,0,0.6646706750314849,0.6894791426446275,-5530.0,-971.0
Cash loans,F,N,Working,Lower secondary,0,0.6201566386281793,0.8297501422395771,-7235.0,-1184.0
Revolving loans,M,N,Working,Secondary / secondary special,0,0.1329811446169872,0.221335206354466,-2877.0,-484.0
Cash loans,F,N,State servant,Higher education,1,0.3918892373888265,0.2608559142068693,-13597.0,-429.0
Cash loans,F,N,Working,Higher education,0,0.5103984194298896,0.4740512892789932,-3096.0,-85.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5541352586272984,0.6769925032909132,-5589.0,0.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.7128535175898938,0.4436153084085652,-2085.0,0.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.6466336202977967,0.4365064990977374,-12536.0,-2072.0
Cash loans,F,N,Pensioner,Secondary / secondary special,1,0.1924995428598265,0.5147465544741232,-9009.0,-797.0
Revolving loans,F,N,Commercial associate,Secondary / secondary special,0,0.7195823744830012,0.7295666907060153,-1343.0,-372.0
Cash loans,M,N,Pensioner,Secondary / secondary special,0,0.6365773085046875,0.3185955240537633,-6394.0,0.0
Cash loans,F,Y,Working,Secondary / secondary special,0,0.5755348517065841,0.6380435278721609,-779.0,-330.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.572267561563191,0.5147465544741232,-178.0,-627.0
Cash loans,M,Y,Working,Higher education,0,0.6806872741164489,0.4135967602644276,-1184.0,-1565.0
Cash loans,F,Y,Pensioner,Higher education,0,0.7024309001366358,0.3774042489507649,-1483.0,-725.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,1,0.5104366710867343,0.5147465544741232,-3786.0,-1011.0
Cash loans,F,Y,Commercial associate,Secondary / secondary special,0,0.5693853971678484,0.5147465544741232,-6023.0,-1862.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.5147465544741233,0.5147465544741232,-448.0,0.0
Cash loans,F,N,Pensioner,Incomplete higher,0,0.5709342203920612,0.7490217048463391,-3408.0,0.0
Cash loans,M,Y,Commercial associate,Secondary / secondary special,0,0.6190536679722553,0.6594055320683344,-3025.0,-1639.0
Revolving loans,F,N,Commercial associate,Secondary / secondary special,0,0.5144031674998191,0.4436153084085652,-4786.0,-1610.0
Revolving loans,F,N,Working,Incomplete higher,0,0.5893030697137653,0.5147465544741232,-7458.0,-144.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.6661604488938849,0.6092756673894402,-8874.0,-1552.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.3912484331463405,0.4507472818545589,-8029.0,-1952.0
Revolving loans,F,N,Working,Higher education,0,0.7628147601025679,0.5744466170995097,-1310.0,-184.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.5133434066623694,0.3774042489507649,-369.0,-349.0
Cash loans,M,N,Commercial associate,Secondary / secondary special,0,0.6416160072017068,0.5147465544741232,-5737.0,-396.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.4165133360513241,0.4276573700350293,-8823.0,-653.0
Cash loans,F,N,Commercial associate,Secondary / secondary special,0,0.5298756388193779,0.520897599048938,-1003.0,-643.0
Cash loans,F,Y,Working,Incomplete higher,0,0.5092344200299864,0.5849900404894085,-5270.0,0.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.7549729527778759,0.5064842396679806,-9676.0,-645.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.6846428397267359,0.3910549766342248,-2235.0,-1.0
Cash loans,F,N,Pensioner,Secondary / secondary special,0,0.4072490247837011,0.7910749129911773,-6869.0,-1626.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.3208484074148765,0.7238369900414456,-1807.0,-257.0
Cash loans,M,Y,Working,Secondary / secondary special,0,0.7047885828092506,0.7862666146611379,-70.0,-1915.0
Cash loans,F,Y,Working,Higher education,0,0.6763178900504039,0.5147465544741232,-4422.0,-1694.0
Cash loans,F,Y,Working,Higher education,0,0.6712857269123558,0.5585066276769286,-983.0,-256.0
Cash loans,F,N,Working,Secondary / secondary special,0,0.5808892553573308,0.5147465544741232,-564.0,-5.0
Cash loans,F,Y,Commercial associate,Secondary / secondary special,0,0.6617791879685126,0.2276129150623945,-4300.0,-550.0
Cash loans,M,N,Working,Secondary / secondary special,0,0.6593030334464031,0.5147465544741232,-4910.0,-365.0
